DATE	cout	rout
UNITS	m3/s	m3/s
1980-01-01	0	-9999
1980-01-02	0.005	-9999
1980-01-03	0.008	-9999
1980-01-04	0.008	-9999
1980-01-05	0.133	-9999
1980-01-06	0.198	-9999
1980-01-07	0.238	-9999
1980-01-08	0.259	-9999
1980-01-09	0.265	-9999
1980-01-10	0.261	-9999
1980-01-11	0.251	-9999
1980-01-12	0.241	-9999
1980-01-13	0.232	-9999
1980-01-14	0.257	-9999
1980-01-15	0.294	-9999
1980-01-16	0.291	-9999
1980-01-17	0.265	-9999
1980-01-18	0.234	-9999
1980-01-19	0.209	-9999
1980-01-20	0.189	-9999
1980-01-21	0.175	-9999
1980-01-22	0.163	-9999
1980-01-23	0.162	-9999
1980-01-24	0.22	-9999
1980-01-25	0.261	-9999
1980-01-26	0.276	-9999
1980-01-27	0.275	-9999
1980-01-28	0.267	-9999
1980-01-29	0.256	-9999
1980-01-30	0.243	-9999
1980-01-31	0.23	-9999
1980-02-01	0.218	-9999
1980-02-02	0.225	-9999
1980-02-03	0.663	-9999
1980-02-04	1.111	-9999
1980-02-05	1.078	-9999
1980-02-06	0.903	-9999
1980-02-07	0.73	-9999
1980-02-08	0.573	-9999
1980-02-09	0.443	-9999
1980-02-10	0.35	-9999
1980-02-11	0.293	-9999
1980-02-12	0.327	-9999
1980-02-13	0.353	-9999
1980-02-14	0.379	-9999
1980-02-15	0.391	-9999
1980-02-16	0.386	-9999
1980-02-17	0.379	-9999
1980-02-18	0.407	-9999
1980-02-19	0.418	-9999
1980-02-20	0.459	-9999
1980-02-21	0.467	-9999
1980-02-22	0.454	-9999
1980-02-23	0.432	-9999
1980-02-24	0.408	-9999
1980-02-25	0.384	-9999
1980-02-26	0.713	-9999
1980-02-27	5.612	2.549
1980-02-28	9.191	3.087
1980-02-29	8.662	3.596
1980-03-01	6.144	0.68
1980-03-02	3.817	0.821
1980-03-03	2.322	0.651
1980-03-04	1.483	0.453
1980-03-05	1.039	0.878
1980-03-06	0.81	1.133
1980-03-07	0.69	1.303
1980-03-08	0.622	1.472
1980-03-09	0.578	1.586
1980-03-10	0.555	1.642
1980-03-11	0.561	1.614
1980-03-12	0.562	1.501
1980-03-13	0.54	1.472
1980-03-14	0.508	1.472
1980-03-15	0.479	1.472
1980-03-16	0.456	1.472
1980-03-17	0.44	1.472
1980-03-18	0.442	1.472
1980-03-19	0.447	1.472
1980-03-20	0.437	1.444
1980-03-21	0.436	1.444
1980-03-22	0.431	1.444
1980-03-23	0.628	1.303
1980-03-24	0.74	0.765
1980-03-25	0.719	0.34
1980-03-26	0.636	0.311
1980-03-27	0.606	0.396
1980-03-28	0.613	0.538
1980-03-29	0.587	0.396
1980-03-30	0.569	0.269
1980-03-31	0.528	0.311
1980-04-01	0.625	0.708
1980-04-02	0.683	1.076
1980-04-03	0.703	1.416
1980-04-04	0.7	1.897
1980-04-05	0.686	2.435
1980-04-06	0.66	2.209
1980-04-07	0.644	2.18
1980-04-08	0.608	2.294
1980-04-09	0.742	2.945
1980-04-10	2.389	2.832
1980-04-11	3.054	2.775
1980-04-12	3.016	3.087
1980-04-13	7.785	6.994
1980-04-14	18.662	16.31
1980-04-15	22.463	25.089
1980-04-16	24	24.381
1980-04-17	24.018	18.548
1980-04-18	21.371	14.3
1980-04-19	19.216	12.431
1980-04-20	17.62	10.506
1980-04-21	14.91	9.486
1980-04-22	11.148	8.863
1980-04-23	8.194	6.683
1980-04-24	7.309	5.493
1980-04-25	6.725	5.324
1980-04-26	5.814	5.918
1980-04-27	5.474	5.578
1980-04-28	5.839	4.757
1980-04-29	6.5	4.163
1980-04-30	8.829	3.993
1980-05-01	10.482	5.417
1980-05-02	10.317	6.72
1980-05-03	9.017	4.737
1980-05-04	6.721	3.69
1980-05-05	4.502	3.265
1980-05-06	2.797	2.868
1980-05-07	1.84	2.557
1980-05-08	1.45	2.387
1980-05-09	1.137	2.246
1980-05-10	0.985	2.076
1980-05-11	1.016	1.991
1980-05-12	0.916	1.877
1980-05-13	0.854	1.708
1980-05-14	0.671	1.509
1980-05-15	0.548	1.396
1980-05-16	0.473	1.283
1980-05-17	0.509	1.198
1980-05-18	0.444	1.085
1980-05-19	0.402	1.028
1980-05-20	0.35	0.943
