DATE	cout	rout
UNITS	m3/s	m3/s
1980-01-01	0.013	3.698
1980-01-02	0.018	3.649
1980-01-03	0.021	3.706
1980-01-04	0.021	3.289
1980-01-05	0.02	3.148
1980-01-06	0.016	3.014
1980-01-07	0.013	3.099
1980-01-08	0.009	3.014
1980-01-09	0.007	2.966
1980-01-10	0.005	2.966
1980-01-11	0.003	2.966
1980-01-12	0.512	3.204
1980-01-13	0.614	3.508
1980-01-14	3.159	3.957
1980-01-15	3.394	4.175
1980-01-16	2.64	3.916
1980-01-17	2.08	3.852
1980-01-18	1.661	3.698
1980-01-19	1.291	3.544
1980-01-20	0.97	3.419
1980-01-21	0.707	3.398
1980-01-22	0.504	3.37
1980-01-23	0.354	3.265
1980-01-24	0.245	3.301
1980-01-25	0.169	3.01
1980-01-26	0.116	2.877
1980-01-27	0.079	2.877
1980-01-28	0.055	2.877
1980-01-29	0.038	2.856
1980-01-30	0.027	2.779
1980-01-31	0.019	2.731
1980-02-01	2.271	2.825
1980-02-02	11.621	2.771
1980-02-03	17.33	3.071
1980-02-04	9.693	3.286
1980-02-05	7.356	3.198
1980-02-06	5.616	3.06
1980-02-07	4.291	3.091
1980-02-08	3.701	3.009
1980-02-09	3.1	2.842
1980-02-10	2.205	2.842
1980-02-11	1.319	2.788
1980-02-12	0.879	2.842
1980-02-13	0.597	2.643
1980-02-14	0.385	2.59
1980-02-15	0.247	2.59
1980-02-16	0.161	2.536
1980-02-17	0.107	2.706
1980-02-18	0.099	2.728
1980-02-19	2.819	2.864
1980-02-20	2.977	2.975
1980-02-21	2.203	2.921
1980-02-22	1.744	2.867
1980-02-23	1.446	2.703
1980-02-24	1.166	2.621
1980-02-25	0.895	2.595
1980-02-26	12.041	2.51
1980-02-27	22.826	3.003
1980-02-28	16.774	3.759
1980-02-29	9.464	4.246
1980-03-01	6.666	3.56
1980-03-02	5.711	3.544
1980-03-03	7.654	3.293
1980-03-04	7.173	2.968
1980-03-05	5.253	2.895
1980-03-06	3.574	2.822
1980-03-07	2.401	2.859
1980-03-08	1.613	1.948
1980-03-09	1.058	2.025
1980-03-10	2.904	2.195
1980-03-11	6.58	3.293
1980-03-12	4.872	3.845
1980-03-13	2.197	3.809
1980-03-14	1.067	3.704
1980-03-15	1.25	3.78
1980-03-16	1.112	3.517
1980-03-17	0.644	2.85
1980-03-18	1.257	1.364
1980-03-19	1.013	1.468
1980-03-20	0.482	1.689
1980-03-21	1.342	2.354
1980-03-22	0.822	1.988
1980-03-23	4.909	2.257
1980-03-24	4.3	2.652
1980-03-25	2.436	2.657
1980-03-26	1.4	2.942
1980-03-27	1.888	2.979
1980-03-28	1.271	3.126
1980-03-29	1.123	3.335
1980-03-30	1.289	3.205
1980-03-31	1.097	4.077
1980-04-01	0.808	3.667
1980-04-02	0.546	3.731
1980-04-03	0.89	3.822
1980-04-04	0.537	3.92
1980-04-05	6.797	3.848
1980-04-06	9.258	3.843
1980-04-07	5.12	4.06
1980-04-08	1.906	4.621
1980-04-09	2.376	4.482
1980-04-10	10.972	3.892
1980-04-11	9.972	3.537
1980-04-12	5.761	5.416
1980-04-13	6.868	5.927
1980-04-14	10.091	7.948
1980-04-15	10.53	9.788
1980-04-16	9.911	9.692
1980-04-17	17.134	10.436
1980-04-18	22.788	12.356
1980-04-19	26.587	15.562
1980-04-20	29.364	20.77
1980-04-21	25.841	24.762
1980-04-22	21.723	27.758
1980-04-23	26.406	34.566
1980-04-24	27.888	45.449
1980-04-25	29.858	55.262
1980-04-26	27.651	60.9
1980-04-27	27.776	63.307
1980-04-28	30.96	68.685
1980-04-29	33.888	77.065
1980-04-30	64.382	88.308
1980-05-01	54.545	86.651
1980-05-02	44.259	86.381
1980-05-03	39.205	90.403
1980-05-04	37.026	89.86
1980-05-05	39.569	88.116
1980-05-06	41.866	87.253
1980-05-07	40.416	83.347
1980-05-08	41.229	70.516
1980-05-09	40.287	64.631
1980-05-10	35.844	62.189
1980-05-11	30.111	58.703
1980-05-12	25.841	54.245
1980-05-13	25.863	51.29
1980-05-14	27.91	50.085
1980-05-15	30.734	53.91
1980-05-16	34.835	53.506
1980-05-17	39.974	53.272
1980-05-18	43.594	54.651
1980-05-19	45.247	60.559
1980-05-20	45.714	64.899
1980-05-21	48.312	75.252
1980-05-22	69.279	87.405
1980-05-23	134.557	101.709
1980-05-24	141.94	109.823
1980-05-25	217.586	112.791
1980-05-26	282.591	169.644
1980-05-27	244.88	141.433
1980-05-28	173.234	113.777
1980-05-29	131.199	98.172
1980-05-30	117.525	89.545
1980-05-31	104.018	91.274
1980-06-01	82.598	85.255
1980-06-02	85.663	89.8
1980-06-03	70.609	88.028
1980-06-04	54.77	78.17
1980-06-05	53.102	69.621
1980-06-06	47.803	63.089
1980-06-07	40.929	57.417
1980-06-08	37.765	54.292
1980-06-09	41.219	50.841
1980-06-10	45.465	56.52
1980-06-11	56.899	66.523
1980-06-12	87.759	71.445
1980-06-13	119.996	92.346
1980-06-14	108.183	96.677
1980-06-15	85.53	95.085
1980-06-16	68.914	93.443
1980-06-17	56.377	91.647
1980-06-18	46.813	87.175
1980-06-19	40.217	81.504
1980-06-20	36.031	77.504
1980-06-21	32.705	73.538
1980-06-22	30.105	70.343
1980-06-23	27.621	66.012
1980-06-24	24.801	60.794
1980-06-25	27.167	55.351
1980-06-26	32.71	53.386
1980-06-27	30.019	52.686
1980-06-28	25.267	49.834
1980-06-29	22.077	47.708
1980-06-30	21.729	48.151
1980-07-01	18.577	46.902
1980-07-02	15.315	44.152
1980-07-03	13.505	42.446
1980-07-04	11.907	40.594
1980-07-05	10.836	38.634
1980-07-06	9.854	36.39
1980-07-07	8.869	32.969
1980-07-08	7.991	30.789
1980-07-09	7.664	30.037
1980-07-10	16.936	31.762
1980-07-11	16.948	33.396
1980-07-12	22.326	31.967
1980-07-13	26.423	31.219
1980-07-14	19.795	30.036
1980-07-15	14.503	29.472
1980-07-16	12.213	29.238
1980-07-17	10.778	28.083
1980-07-18	12.45	27.306
1980-07-19	17.294	26.786
1980-07-20	13.588	26.189
1980-07-21	9.426	24.422
1980-07-22	7.308	22.659
1980-07-23	5.957	22.661
1980-07-24	5.098	23.521
1980-07-25	4.438	23.255
1980-07-26	3.677	22.506
1980-07-27	3.092	21.797
1980-07-28	2.684	21.06
1980-07-29	2.423	20.38
1980-07-30	2.185	19.983
1980-07-31	1.988	18.518
1980-08-01	1.857	18.536
1980-08-02	1.755	18.684
1980-08-03	18.658	19.425
1980-08-04	16.052	19.698
1980-08-05	10.806	18.519
1980-08-06	10.594	16.824
1980-08-07	8.507	16.294
1980-08-08	7.414	15.806
1980-08-09	25.28	16.163
1980-08-10	24.298	16.179
1980-08-11	26.715	15.044
1980-08-12	36.708	15.373
1980-08-13	33.516	15.556
1980-08-14	23.483	15.854
1980-08-15	15.997	14.935
1980-08-16	11.537	14.595
1980-08-17	10.618	14.952
1980-08-18	34.806	17.16
1980-08-19	30.776	21.339
1980-08-20	23.395	20.825
1980-08-21	23.761	20.615
1980-08-22	29.864	20.221
1980-08-23	22.381	19.643
1980-08-24	14.893	18.209
1980-08-25	10.752	16.771
1980-08-26	8.005	15.519
1980-08-27	7.018	15.074
1980-08-28	10.009	14.658
1980-08-29	10.981	14.425
1980-08-30	8.778	13.61
1980-08-31	10.973	12.527
1980-09-01	8.583	11.905
1980-09-02	6.617	11.887
1980-09-03	6.458	15.137
1980-09-04	5.91	16.761
1980-09-05	5.001	16.25
1980-09-06	4.326	15.768
1980-09-07	5.129	15.324
1980-09-08	6.491	16.664
1980-09-09	4.684	16.928
1980-09-10	2.913	17.135
1980-09-11	3.989	20.429
1980-09-12	8.468	21.203
1980-09-13	61.639	20.127
1980-09-14	67.771	19.816
1980-09-15	68.684	20.755
1980-09-16	55.517	20.129
1980-09-17	45.955	20.166
1980-09-18	36.025	20.308
1980-09-19	28.069	21.801
1980-09-20	23.542	28.605
1980-09-21	19.534	33.518
1980-09-22	15.85	32.059
1980-09-23	12.784	39.078
1980-09-24	10.85	37.726
1980-09-25	8.62	32.967
1980-09-26	6.78	28.851
1980-09-27	5.66	26.075
1980-09-28	4.767	24.064
1980-09-29	6.007	23.319
1980-09-30	10.083	21.893
1980-10-01	9.782	20.521
1980-10-02	7.852	19.122
1980-10-03	6.146	18.035
1980-10-04	4.747	17.145
1980-10-05	3.587	16.898
1980-10-06	2.656	16.479
1980-10-07	1.937	15.225
1980-10-08	1.455	14.394
1980-10-09	12.364	13.998
1980-10-10	10.583	13.45
1980-10-11	7.596	12.665
1980-10-12	7.892	12.032
1980-10-13	7.262	12.26
1980-10-14	11.758	11.958
1980-10-15	10.605	11.807
1980-10-16	6.736	11.277
1980-10-17	11.147	11.239
1980-10-18	7.657	11.05
1980-10-19	3.987	10.672
1980-10-20	4.57	10.436
1980-10-21	17.862	10.352
1980-10-22	15.598	10.467
1980-10-23	9.083	10.429
1980-10-24	6.099	9.889
1980-10-25	7.694	9.729
1980-10-26	5.568	9.332
1980-10-27	3.378	8.973
1980-10-28	2.56	9.066
1980-10-29	2.588	8.99
1980-10-30	1.755	8.555
1980-10-31	2.137	8.234
1980-11-01	7.912	7.976
1980-11-02	10.268	8.925
1980-11-03	8.425	8.896
1980-11-04	11.022	9.26
1980-11-05	14.406	9.429
1980-11-06	13.818	10.338
1980-11-07	30.241	12.463
1980-11-08	32.647	21.374
1980-11-09	27.445	21.642
1980-11-10	22.756	19.722
1980-11-11	18.699	18.682
1980-11-12	14.771	18.021
1980-11-13	11.184	17.364
1980-11-14	8.213	16.491
1980-11-15	5.929	15.954
1980-11-16	4.259	15.121
1980-11-17	3.084	14.394
1980-11-18	2.323	14.354
1980-11-19	1.947	13.771
1980-11-20	1.607	13.043
1980-11-21	11.006	13.153
1980-11-22	9.482	12.448
1980-11-23	5.674	11.296
1980-11-24	4.09	10.471
1980-11-25	3.329	9.776
1980-11-26	2.698	9.379
1980-11-27	11.743	9.896
1980-11-28	9.704	9.965
1980-11-29	5.01	9.091
1980-11-30	2.772	8.752
1980-12-01	1.88	8.212
1980-12-02	1.428	7.205
1980-12-03	1.192	7.433
1980-12-04	1.033	7.76
1980-12-05	0.879	7.352
1980-12-06	0.747	7.056
1980-12-07	0.655	6.803
1980-12-08	0.593	6.578
1980-12-09	0.549	6.324
1980-12-10	7.554	5.986
1980-12-11	23.472	5.434
1980-12-12	16.508	4.951
1980-12-13	7.637	5.072
1980-12-14	4.561	5.197
1980-12-15	20.281	5.788
1980-12-16	25.37	6.531
1980-12-17	22.37	7.432
1980-12-18	16.228	7.828
1980-12-19	11.405	8.057
1980-12-20	8.4	8.227
1980-12-21	6.344	8.555
1980-12-22	5.023	8.64
1980-12-23	4.097	8.81
1980-12-24	3.423	8.967
1980-12-25	12.296	9.659
1980-12-26	27.339	13.593
1980-12-27	35.212	32.326
1980-12-28	33.502	38.242
1980-12-29	29.69	32.401
1980-12-30	25.791	30.908
1980-12-31	22.859	29.799
1981-01-01	19.369	28.13
1981-01-02	15.701	26.602
1981-01-03	12.505	24.682
1981-01-04	9.947	22.438
1981-01-05	7.988	17.293
1981-01-06	6.523	14.956
1981-01-07	5.441	15.037
1981-01-08	4.64	15.53
1981-01-09	4.041	15.033
1981-01-10	3.589	14.393
1981-01-11	3.236	13.655
1981-01-12	2.953	12.917
1981-01-13	2.721	12.265
1981-01-14	2.535	11.57
1981-01-15	2.418	11.158
1981-01-16	2.334	10.42
1981-01-17	2.213	9.966
1981-01-18	2.12	9.825
1981-01-19	2.004	9.712
1981-01-20	2.099	9.527
1981-01-21	2.357	9.173
1981-01-22	3.983	9.018
1981-01-23	5.29	9.146
1981-01-24	19.357	9.603
1981-01-25	16.599	9.662
1981-01-26	11.042	9.464
1981-01-27	8.318	9.292
1981-01-28	6.65	8.965
1981-01-29	5.378	8.965
1981-01-30	4.344	8.794
1981-01-31	3.581	8.666
1981-02-01	3.033	8.658
1981-02-02	2.62	8.549
1981-02-03	2.293	8.13
1981-02-04	2.034	8.081
1981-02-05	1.836	7.812
1981-02-06	1.672	7.48
1981-02-07	1.535	7.594
1981-02-08	1.422	7.127
1981-02-09	1.278	6.646
1981-02-10	1.147	6.329
1981-02-11	1.054	6.315
1981-02-12	0.982	6.684
1981-02-13	16.954	7.129
1981-02-14	15.185	7.212
