Merit_reorderd_ID,Outlet_Number,Rank,Next,Segid,tosegment
454,17,241,252,58587,58506
70,17,242,253,58272,58269
69,17,243,253,58271,58269
199,17,244,255,58402,58374
270,17,245,259,58475,58320
125,17,246,259,58327,58320
429,17,247,260,58636,58560
275,17,248,261,58480,58424
241,17,249,261,58446,58424
384,17,250,263,58591,58494
357,17,251,263,58563,58494
301,17,252,264,58506,58268
67,17,253,264,58269,58268
305,17,254,266,58510,58372
171,17,255,266,58374,58372
421,17,256,267,58628,58518
328,17,257,267,58533,58518
408,17,258,268,58615,58462
118,17,259,269,58320,58312
354,17,260,271,58560,58418
221,17,261,271,58424,58418
431,17,262,272,58638,58516
289,17,263,273,58494,58267
66,17,264,273,58268,58267
297,17,265,277,58502,58368
169,17,266,277,58372,58368
313,17,267,279,58518,58457
257,17,268,279,58462,58457
110,17,269,280,58312,58307
304,17,270,281,58509,58400
215,17,271,282,58418,58410
311,17,272,283,58516,58266
65,17,273,283,58267,58266
286,17,274,285,58491,58454
274,17,275,285,58479,58454
167,17,276,287,58370,58365
165,17,277,287,58368,58365
424,17,278,289,58631,58556
252,17,279,290,58457,58412
105,17,280,291,58307,58305
197,17,281,292,58400,58345
207,17,282,295,58410,58265
64,17,283,295,58266,58265
353,17,284,297,58559,58450
249,17,285,297,58454,58450
418,17,286,299,58625,58362
162,17,287,299,58365,58362
427,17,288,300,58634,58549
350,17,289,301,58556,58470
209,17,290,302,58412,58304
103,17,291,302,58305,58304
143,17,292,305,58345,58315
392,17,293,306,58599,58427
312,17,294,307,58517,58263
63,17,295,307,58265,58263
277,17,296,309,58482,58423
245,17,297,309,58450,58423
404,17,298,311,58611,58358
159,17,299,311,58362,58358
343,17,300,313,58549,58459
265,17,301,313,58470,58459
102,17,302,317,58304,58300
443,17,303,318,58650,58531
409,17,304,320,58616,58310
113,17,305,320,58315,58310
224,17,306,323,58427,58262
61,17,307,323,58263,58262
358,17,308,325,58564,58411
220,17,309,325,58423,58411
370,17,310,327,58576,58357
155,17,311,327,58358,58357
445,17,312,332,58652,58398
254,17,313,332,58459,58398
322,17,314,333,58527,58471
317,17,315,333,58522,58471
405,17,316,334,58612,58296
98,17,317,334,58300,58296
326,17,318,335,58531,58437
456,17,319,337,58542,58298
108,17,320,337,58310,58298
330,17,321,338,58535,58419
161,17,322,339,58364,58261
60,17,323,339,58262,58261
345,17,324,341,58551,58403
208,17,325,341,58411,58403
394,17,326,343,58601,58350
154,17,327,343,58357,58350
393,17,328,346,58600,58499
362,17,329,346,58568,58499
376,17,330,347,58582,58435
296,17,331,347,58501,58435
195,17,332,348,58398,58367
266,17,333,350,58471,58295
94,17,334,350,58296,58295
234,17,335,352,58437,58395
342,17,336,354,58548,58294
96,17,337,354,58298,58294
216,17,338,355,58419,58260
59,17,339,355,58261,58260
382,17,340,357,58589,58401
200,17,341,357,58403,58401
298,17,342,359,58503,58348
148,17,343,359,58350,58348
430,17,344,360,58637,58550
366,17,345,361,58572,58404
294,17,346,361,58499,58404
232,17,347,362,58435,58361
164,17,348,362,58367,58361
264,17,349,363,58469,58290
93,17,350,363,58295,58290
363,17,351,364,58569,58381
192,17,352,365,58395,58334
415,17,353,366,58622,58442
92,17,354,367,58294,58259
58,17,355,367,58260,58259
346,17,356,369,58552,58388
198,17,357,369,58401,58388
380,17,358,371,58586,58338
146,17,359,371,58348,58338
344,17,360,375,58550,58380
201,17,361,376,58404,58342
158,17,362,376,58361,58342
88,17,363,378,58290,58280
178,17,364,380,58381,58313
132,17,365,380,58334,58313
238,17,366,381,58442,58258
57,17,367,381,58259,58258
323,17,368,383,58528,58386
185,17,369,383,58388,58386
446,17,370,384,58653,58429
136,17,371,385,58338,58336
227,17,372,387,58430,58391
210,17,373,387,58413,58391
369,17,374,389,58575,58448
177,17,375,390,58380,58324
140,17,376,390,58342,58324
359,17,377,391,58565,58270
78,17,378,391,58280,58270
261,17,379,392,58466,58340
111,17,380,393,58313,58257
56,17,381,393,58258,58257
352,17,382,395,58558,58373
183,17,383,395,58386,58373
226,17,384,396,58429,58333
134,17,385,397,58336,58332
278,17,386,399,58483,58353
188,17,387,399,58391,58353
398,17,388,400,58605,58472
243,17,389,401,58448,58318
122,17,390,401,58324,58318
68,17,391,402,58270,58264
138,17,392,403,58340,58256
55,17,393,403,58257,58256
285,17,394,404,58490,58369
170,17,395,404,58373,58369
131,17,396,405,58333,58329
130,17,397,405,58332,58329
387,17,398,406,58594,58344
151,17,399,406,58353,58344
267,17,400,407,58472,58299
116,17,401,407,58318,58299
62,17,402,408,58264,58255
54,17,403,408,58256,58255
166,17,404,409,58369,58328
127,17,405,409,58329,58328
142,17,406,411,58344,58292
97,17,407,411,58299,58292
53,17,408,412,58255,58254
126,17,409,413,58328,58253
276,17,410,414,58481,58291
90,17,411,414,58292,58291
52,17,412,415,58254,58252
51,17,413,415,58253,58252
89,17,414,421,58291,58251
50,17,415,421,58252,58251
411,17,416,425,58618,58496
401,17,417,425,58608,58496
283,17,418,429,58488,58438
259,17,419,429,58464,58438
91,17,420,430,58293,58250
49,17,421,430,58251,58250
377,17,422,433,58583,58455
321,17,423,433,58526,58455
379,17,424,434,58585,58497
291,17,425,435,58496,58406
229,17,426,435,58432,58406
381,17,427,437,58588,58436
284,17,428,437,58489,58436
235,17,429,438,58438,58249
48,17,430,438,58250,58249
251,17,431,439,58456,58352
268,17,432,440,58473,58416
250,17,433,440,58455,58416
292,17,434,441,58497,58392
203,17,435,441,58406,58392
399,17,436,443,58606,58248
233,17,437,444,58436,58247
47,17,438,444,58249,58247
150,17,439,446,58352,58316
213,17,440,447,58416,58376
189,17,441,447,58392,58376
428,17,442,448,58635,58515
46,17,443,449,58248,58245
45,17,444,449,58247,58245
137,17,445,451,58339,58303
114,17,446,451,58316,58303
173,17,447,452,58376,58246
310,17,448,453,58515,58244
43,17,449,453,58245,58244
365,17,450,454,58571,58288
101,17,451,454,58303,58288
44,17,452,455,58246,58243
42,17,453,455,58244,58243
86,17,454,473,58288,58242
41,17,455,473,58243,58242
1,0,456,0,58183,0
239,1,457,0,58444,0
308,2,458,0,58513,0
458,3,459,0,58662,0
459,4,460,0,58663,0
460,5,461,0,58664,0
461,6,462,0,58665,0
462,7,463,0,58666,0
463,8,464,0,58667,0
464,9,465,0,58668,0
465,10,466,0,58669,0
466,11,467,0,58670,0
467,12,468,0,58671,0
468,13,469,0,58672,0
469,14,470,0,58673,0
470,15,471,0,58674,0
471,16,472,0,58675,0
472,17,473,0,58242,0
