subid	maindown	area	longitude	latitude	elev_mean	slope_mean	rivlen	hds_depth	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22	SLC_23	SLC_24	SLC_25	SLC_26	SLC_27	SLC_28	SLC_29	SLC_30	SLC_31	SLC_32	SLC_33	SLC_34	SLC_35	SLC_36	SLC_37	SLC_38	SLC_39	SLC_40	SLC_41	SLC_42	SLC_43	SLC_44	SLC_45	SLC_46	SLC_47	SLC_48	SLC_49	SLC_50	SLC_51	SLC_52	SLC_53	SLC_54	SLC_55	SLC_56	SLC_57	SLC_58	SLC_59	SLC_60	SLC_61	SLC_62	SLC_63	SLC_64	SLC_65	SLC_66	SLC_67	SLC_68	SLC_69	SLC_70	SLC_71	SLC_72	SLC_73	SLC_74	SLC_75	SLC_76	SLC_77	SLC_78	SLC_79	SLC_80	SLC_81	SLC_82	SLC_83	SLC_84	SLC_85	SLC_86	SLC_87	SLC_88	SLC_89	SLC_90	SLC_91	SLC_92	SLC_93	SLC_94	SLC_95	SLC_96	SLC_97	SLC_98	SLC_99	SLC_100	SLC_101	SLC_102	SLC_103	SLC_104	SLC_105	SLC_106	SLC_107	SLC_108	SLC_109	SLC_110	SLC_111	SLC_112	SLC_113	SLC_114	SLC_115	SLC_116	SLC_117
58665	-9999	116624999.8230004	-107.451698103432	48.9941929300117	831.108093261719	0.0	78919.99770090933	0.7209022341955057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03122993596232403	0.022170870568672743	0.0	0.0	0.0	0.0	0.0	0.0	0.143991460467509	0.18952518389349265	0.0	0.0	0.0	0.0	0.0	0.0	0.0009535858309106202	0.0	0.00882066893592359	0.0009535858309106202	0.0	0.0	0.0	0.0021455681195489346	0.0	0.2794006484568222	0.08320036374695479	0.0	0.0	0.0	0.0	0.0	0.0	0.0004767929154553101	0.0021455681195489346	0.0	0.0	0.0	0.0	0.006436704358646884	0.0009535858309106202	0.0	0.0	0.0	0.21782122219553499	0.0	0.006436704358646884	0.003337550408187249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58664	-9999	748231399.935425	-110.129382042631	49.0501687237689	881.680419921875	0.0	241959.99480290175	4.007244621453524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012500219684856538	0.009722393088221731	0.0	0.0	0.0	0.0	0.0	0.0009335318890329673	0.12302128771817787	0.19661092345853534	0.0013206060869246877	0.0	0.0002959979160348138	6.830721139261964e-05	0.0	0.0	0.0	0.022427534407256224	0.02966809881487801	0.000523688620677008	0.0	0.0005692267616054854	6.830721139261964e-05	0.0	0.0009335318890329673	0.051093794121708655	0.0003870741978917205	0.0	0.0002732288455706233	0.0007513793253192023	0.0	0.0	0.002868902878491618	0.012249759909750106	0.00036430512742748175	0.0003870741978917205	9.107628185685838e-05	0.0	6.830721139261964e-05	0.0012978370164604973	0.0010018391004256353	0.0	6.830721139261964e-05	0.0	0.5173640133699398	0.0	0.008083020014797942	0.0049864264316640825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58663	-9999	68777300.19549951	-112.288726218494	48.8772015844489	1231.87414550781	0.0	50540.00250059392	1.064218506777197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006517533224471806	0.00608303100950703	0.0	0.0	0.0	0.0	0.0	0.0	0.07603788761883856	0.07256186989912027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015207577523767744	0.004345022149647842	0.0	0.0	0.0	0.0	0.0	0.5826674702677862	0.06691334110457792	0.0	0.0	0.0	0.0	0.0	0.0	0.0008690044299295515	0.0	0.0	0.0	0.0	0.0	0.010862555374119818	0.0008690044299295515	0.0	0.0	0.0	0.15315518303362063	0.0	0.0034760177197182907	0.00043450221496477577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58662	-9999	775811700.2174999	-110.379377120484	48.2510374946354	887.202331542969	0.0	194939.991502166	0.39101685777757994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008003621619286123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081238638220172	3.7575688353456075e-05	0.0	0.0	0.0	7.515137670691207e-05	0.0	0.0	0.0	0.0	0.005223020681130376	0.0	0.0	0.0	0.0	0.0	0.0004133325718879826	0.682111470680288	0.0003006055068276089	0.00015030275341380446	0.002630298184741863	0.013113915235356126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019313903813676436	0.0	0.0	0.00011272706506029234	0.00045090826024141335	0.18671180127779746	0.0	0.00011272706506029234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58513	0	482172500.02057487	-110.381839533504	49.2492646926958	986.219360351562	0.00332	89557.31878497965	0.36752998487313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012795778609591167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014843103187129354	0.014843103187129354	0.0	0.0	0.0	0.0	6.397889304797145e-05	0.0	0.18790600888189227	0.5767697208274623	0.007101657128324765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040306702620222006	0.01541891322456113	0.0	0.0	0.0	0.0	0.000639788930479646	0.001919366791439114	0.0	0.0	0.0	0.12233754516792833	0.0	0.004990353657741696	0.01260384193045037	0.00012795778609591167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58452	58444	123309800.192264	-107.789377321154	48.3004701428811	766.561828613281	0.00455	30587.61913581245	0.6787282049187797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35450807083486785	0.0033036594414718617	0.0	0.0	0.0	0.0	0.0	0.0	0.38424100580811543	0.005336680636223804	0.0	0.0	0.0	0.0	0.0	0.0	0.0007623829480319343	0.0	0.019567828999487308	0.00025412764934394893	0.0	0.0	0.0	0.0	0.0	0.09936391089350058	0.00025412764934394893	0.0	0.0007623829480319343	0.00025412764934394893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006099063584255738	0.0	0.0	0.0	0.0	0.12453024800994987	0.0	0.0007623829480319343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58444	0	162859099.97873566	-107.685266733398	48.4035426738461	695.573486328125	0.00228	10266.69768345464	0.8742527114111776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012556759019592412	0.00031391897548979246	0.12368407634298904	0.0007847974387245525	0.0	0.0	0.0	0.0	0.0182073005784096	0.0012556759019592412	0.25019342346538714	0.002354392316173657	0.0	0.0	0.0007847974387245525	0.0004708784632346886	0.0	0.0	0.010045407215674285	0.001569594877449105	0.06011548380630067	0.00015695948774489623	0.0	0.0006278379509795849	0.0006278379509795849	0.0	0.0007847974387245525	0.15397725747775703	0.0	0.0	0.0017265543651940008	0.0012556759019592412	0.0	0.00015695948774489623	0.0	0.0037670277058777946	0.0	0.0	0.0	0.0	0.0	0.010673245166653944	0.0	0.0	0.0	0.0	0.3462637335424491	0.00031391897548979246	0.008475812338225181	0.0	0.0	0.00015695948774489623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58661	58609	2847399.9425001675	-113.382712960181	48.6453384435621	1984.642578125	0.15759	3500.299098087165	0.23203531901041666	0.0	0.0	0.0	0.5421796969433755	0.0	0.0	0.0	0.0	0.0	0.03696679751886647	0.0	0.0	0.0	0.0	0.11090039255659942	0.0	0.0	0.0	0.19715625343395485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11090039255659942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018964669906042474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58609	58607	156295599.78450042	-113.291881919884	48.6869016950282	1658.32373046875	0.00827	32997.50485109245	1.3566339256369921	0.0	0.0	0.002643282210155193	0.1301816488501469	0.0	0.0	0.0	0.0	0.01894352250611273	0.12908028126258195	0.0	0.0	0.0	0.0013216411050775965	0.0295166513467337	0.0	0.0	0.025992275066526706	0.1680686938623716	0.0	0.0	0.0	0.0	0.00022027351751290048	0.0	0.0295166513467337	0.3456091489778004	0.0	0.0	0.0	0.0	0.0	0.0	0.00022027351751290048	0.0	0.010352855323108062	0.04978181495792402	0.0	0.0	0.0	0.0	0.0	0.0	0.0006608205525387982	0.0	0.0	0.0	0.0	0.00022027351751290048	0.0	0.0	0.012775864015750453	0.0	0.0	0.0	0.0	0.0	0.007048752560413977	0.0	0.0	0.0	0.03586281384586912	0.0	0.0017621881401034942	0.00022027351751290048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58658	58607	22510600.062499784	-113.18843726827	48.697385412609	1580.19799804688	0.01474	15355.45006791014	0.08475474248533724	0.0	0.0	0.0	0.0015508906021500944	0.0	0.0	0.0	0.0	0.0	0.007754453010750669	0.0	0.0	0.0	0.0	0.004652671806450383	0.0	0.0	0.06979007709675682	0.16129262262361535	0.0	0.0	0.0	0.0	0.0	0.0	0.1674961850322163	0.5536679449676036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010856234215051056	0.0	0.0	0.0	0.0	0.0	0.0	0.0062035624086005745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015508906021500944	0.0015508906021500944	0.0	0.0	0.0	0.013633577032504882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
