hru_nhm,lat,lon,mean
113490,48.6616718408458,-113.582149650612,1881.93054199219
113492,48.7407516566005,-113.687397457,2072.53515625
113494,48.7706042137052,-113.694254249613,1896.64575195312
113496,48.8036409783386,-113.661912951676,1748.79016113281
113497,48.7381025680507,-113.42639079256,1719.15466308594
113498,48.8050715042301,-113.721492161667,1948.32873535156
113500,48.8308924902666,-113.419270122338,1375.83813476562
113501,48.8002971433993,-113.603913575041,1845.45715332031
113503,48.8225728949463,-113.513862804633,1596.41137695312
113506,48.790219267105,-113.520849323225,1847.74914550781
113510,48.8652082717904,-113.383822074545,1508.67370605469
113512,48.8869781180464,-113.57353818253,1913.05517578125
113513,48.93292775103,-113.406537651096,1441.54443359375
113515,48.9616508790758,-113.23614426061,1372.89880371094
113518,49.0126082335224,-113.419976987294,1401.62939453125
113523,48.9758706740918,-113.59246960926,1690.97045898438
113525,49.0433844583287,-113.253576496324,1284.89221191406
113527,49.0448314606073,-113.11111815762,1280.15515136719
113530,49.1167629552537,-113.222761415019,1199.99377441406
113532,49.1206377121718,-113.122031655952,1221.97448730469
113533,49.1403196366807,-113.042171543689,1273.08728027344
113538,49.0894616243503,-113.503916686527,1390.54418945312
113540,49.1704589740212,-113.383657817566,1260.17492675781
113543,49.140662078461,-113.340199849632,1265.9111328125
113545,49.1473189658281,-113.238774524574,1221.0703125
113547,49.1748686698696,-113.266926828186,1179.80139160156
113550,49.249919440417,-113.073011969627,1180.93920898438
113552,49.2893059723665,-113.215353600476,1126.009765625
113553,49.3770629290131,-113.096056705313,1101.34106445312
113571,49.4373711125666,-112.927676814999,1004.03070068359
113577,49.5035201015016,-112.934131540365,956.165771484375
113579,49.4387542880864,-113.020676629751,1029.11291503906
113582,49.4544003284712,-113.188477398036,1079.99572753906
113584,49.530760162565,-112.879443224158,928.137573242188
113585,49.3305280882506,-112.858844208542,1116.33776855469
113588,49.5704761259351,-112.839963755493,909.549743652344
113589,49.4814026038854,-113.103428915332,1044.17810058594
113597,49.556179530934,-112.932044931627,947.332702636719
113598,49.5775776558784,-112.859951196488,924.506164550781
113602,49.5980727445394,-112.919857321198,921.890625
113611,48.1789169273085,-109.769910018312,1446.71765136719
113613,48.1463450475465,-109.950317895949,1045.02001953125
113614,48.1966334702697,-109.940647010647,1032.03967285156
113617,48.2189305560257,-109.707260366927,1419.72937011719
113619,48.2721124272724,-109.768772115519,1201.35388183594
113621,48.2591583091792,-109.918048319205,1001.70825195312
113622,48.2538019511208,-110.097774831558,843.243835449219
113624,48.3046568473912,-109.923869509946,932.47802734375
113625,48.3308404991438,-110.116525752363,846.52392578125
113628,48.3424956881508,-110.039196249936,814.263000488281
113631,48.3634751793731,-109.821297574905,992.774658203125
113633,48.3844812750148,-109.950188802723,839.449584960938
113635,48.2510374946354,-110.379377120484,887.202331542969
113636,48.452393115486,-110.16956156463,865.520935058594
113637,48.4786744024947,-109.887967928549,842.293334960938
113639,48.5983124217874,-109.898974305483,822.405639648438
