,prms_nhm_id,TGF_nhm_id
397,96793,113937
398,96794,113938
399,96795,113939
400,96796,113940
401,96797,113941
402,96798,113942
403,96799,113943
404,96800,113944
405,96801,113945
406,96802,113946
407,96803,113947
408,96805,113948
409,96806,113949
410,96807,113950
411,96808,113951
412,96809,113952
413,96810,113953
414,96811,113954
415,96812,113955
416,96813,113956
417,96814,113957
418,96815,113958
419,96816,113959
420,96817,113960
421,96818,113961
422,96819,113962
423,96820,113963
424,96821,113964
425,96822,113965
426,96824,113966
427,96825,113967
428,96826,113968
429,96827,113969
430,96828,113970
431,96829,113971
432,96830,113972
433,96831,113973
434,96832,113974
435,96833,113975
436,96834,113976
437,96835,113977
438,96836,113978
439,96837,113979
440,96838,113980
441,96839,113981
442,96840,113982
443,96841,113983
444,96842,113984
445,96843,113985
446,96844,113986
447,96845,113987
448,96846,113988
449,96847,113989
450,96848,113990
451,96849,113991
452,96850,113992
453,96851,113993
454,96852,113994
455,96853,113995
456,96854,113996
457,96855,113997
458,96856,113998
459,96857,113999
460,96858,114000
461,96859,114001
462,96860,114002
463,96861,114003
464,96862,114004
465,96863,114005
466,96864,114006
467,96865,114007
468,96866,114008
469,96867,114009
470,96868,114010
471,96869,114011
472,96870,114012
473,96871,114013
474,96872,114014
475,96873,114015
476,96874,114016
477,96875,114017
478,96876,114018
479,96877,114019
480,96878,114020
481,96879,114021
482,96880,114022
483,96881,114023
484,96882,114024
485,96883,114025
486,96884,114026
487,96885,114027
488,96886,114028
489,96887,114029
490,96889,114031
491,96890,114032
492,96892,114034
493,96893,114035
494,96894,114036
495,96895,114037
496,96896,114038
497,96897,114039
498,96898,114040
499,96899,114041
500,96900,114042
501,96901,114043
502,96908,114050
503,96909,114051
504,96910,114052
505,96911,114053
506,96912,114054
507,96913,114055
508,96914,114056
509,96915,114057
510,96916,114058
511,96917,114059
512,96918,114060
513,96919,114061
514,96920,114062
515,96921,114063
516,96922,114064
517,96923,114065
518,96924,114066
519,96925,114067
520,96926,114068
521,96927,114069
522,96928,114070
523,96929,114071
524,96930,114072
525,96934,114076
526,96935,114077
527,96936,114078
528,96938,114080
529,96939,114081
530,96940,114082
531,96941,114083
532,96942,114084
533,96943,114085
534,96944,114086
535,96945,114087
536,96946,114088
537,96947,114089
538,96948,114090
539,96949,114091
540,96950,114092
541,96951,114093
542,96952,114094
543,96953,114095
544,96954,114096
545,96955,114097
546,96956,114098
547,96957,114099
548,96958,114100
549,96960,114102
550,96961,114103
551,96962,114104
552,96963,114105
553,96964,114106
554,96965,114107
555,96966,114108
556,96967,114109
557,96968,114110
558,96969,114111
559,96970,114112
560,96971,114113
561,96972,114114
562,96973,114115
563,96974,114116
564,96975,114117
565,96976,114118
566,96979,114121
