hru_nhm,majority,minority,frac_1,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
113602,15,6,0.00194123305846006,0.000491316197440028,0.000147860540891998,0.0610060766339302,0.249610111117363,0,0,0,0.635480105876923,0.00249088043347001,0.0191141795367002,0.0297182686626911,0
113598,15,16,0,0,0,0.0349589847028255,0.199599951505661,0,0,0,0.710590243339539,0.0005220792372711,0.0105961738154292,0.0437325425446033,0
113588,10,5,0,0.003816720796749,0,0.0746970698237419,0.561065495014191,0,0,0,0.323658853769302,0.00664524920284748,0.0121462112292647,0.0179703459143639,0
113584,15,1,0.000228701348532923,0,0,0.0609918124973774,0.330530375242233,0,0,0.000449603627203032,0.538657665252686,0.0178256966173649,0.00919717736542225,0.042118925601244,0
113577,10,18,0,0.00738810747861862,0,0.134464830160141,0.564548015594482,0,0,0,0.270059794187546,0.003819142235443,0.0163351185619831,0.00338501646183431,0
113579,15,1,0.000433239969424903,0.00200933706946671,0,0.0884532332420349,0.236161410808563,0,0,0.00298039219342172,0.629296064376831,0.00457166414707899,0.0133967725560069,0.0226978864520788,0
113585,15,6,0.000177450914634392,0.00240611797198653,9.38054927246412e-06,0.228385895490646,0.1286541223526,0,0,0.00036315803299658,0.591742634773254,0.00181922863703221,0.0244478136301041,0.0219941828399897,0
113553,15,1,0.000520129746291786,0.00340930442325771,0,0.173227310180664,0.311770617961884,0,0,0.00507126469165087,0.43786758184433,0.0040600192733109,0.0317640043795109,0.0323097407817841,0
113552,15,1,2.61158729699673e-05,0.00016349513316527,0,0.0250489413738251,0.128946110606194,0,0,0.000139284660690464,0.644329965114594,0.000763767573516816,0.0223391056060791,0.17824324965477,0
113545,15,6,0.000116273055027705,0.008509187027812,2.37933836615412e-05,0.157820224761963,0.229467079043388,0,0,0.000310061499476433,0.526197671890259,0.00640626763924956,0.0277100708335638,0.0434393472969532,0
113550,15,14,0.000235070037888363,0.0073852869682014,0.000484244286781177,0.227746784687042,0.127718791365623,0,0,6.58196149743162e-05,0.594638884067535,0.000187325218576007,0.0190736651420593,0.022464107722044,0
113530,15,1,0.000864701520185918,0.0104079712182283,0,0.115701168775558,0.226611360907555,0,0,0.00177451793570071,0.58130806684494,0.00159135181456804,0.0275034327059984,0.034237451851368,0
113532,15,1,7.16066870154464e-06,0.0020888214930892,0,0.0507082678377628,0.0727689042687416,0,0,0,0.808362782001495,0.00252368743531406,0.0255303420126438,0.0380101054906845,0
113525,10,14,0.00125002302229404,0.00335146021097898,0,0.222999855875969,0.380644679069519,0,0,0.000146487072925083,0.335749685764313,0.000869091309141368,0.0189250651746988,0.0360636338591576,0
113527,15,6,0.000243233298533596,0.000993651570752263,7.96976091805845e-05,0.201755672693253,0.214675396680832,0,0,0.00383056746795774,0.513679385185242,0.00023296223662328,0.0225700922310352,0.0419392697513103,0
113515,10,16,0.00881836656481028,0.0146039081737399,0.00269809807650745,0.275161325931549,0.603182435035706,0,0,0.0418998785316944,0.0426208935678005,0.000679552205838263,0.00278802821412683,0.00754748983308673,0
113518,10,16,0.0466604121029377,0.124263487756252,0.0144467512145638,0.222921773791313,0.453572124242783,0,0,0.00571725843474269,0.100114390254021,0.000102574012998957,0.0127732641994953,0.0194279942661524,0
113513,10,18,0.0561133213341236,0.318823546171188,0.0506969317793846,0.045880563557148,0.447300374507904,0,0,0.0402346402406693,0.0120370639488101,0,0.0192364547401667,0.0096770916134119,0
113510,5,15,0.0601021274924278,0.390320330858231,0.0657307431101799,0.0657439157366753,0.272067755460739,0,0,0.0221837740391493,0.0175011325627565,0,0.0191958267241716,0.0871544256806374,0
113500,5,8,0.0242235045880079,0.287676930427551,0.0921570509672165,0.00381649355404079,0.138850018382072,0,0,0.15284226834774,0.00546269211918116,0,0.0736469477415085,0.221324101090431,0
