hru_nhm,majority,minority,frac_1,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
113721,10,18,0,0,0,0.293183773756027,0.701467156410217,0.00370319583453238,0,0,0,0.00164586480241269,0
114285,10,16,0,0,0,0.00210511079058051,0.766045331954956,0.000336175056872889,0.213245734572411,0.00018401189299766,0.0152267348021269,0.00285686855204403,0
113812,10,16,0.000235131810768507,0,0,0.157075583934784,0.652401626110077,0.0160736665129662,0.157737657427788,0.000142025921377353,0.0122950887307525,0.00403920840471983,0
113713,10,1,0.000285071262624115,0,0,0.439747273921967,0.535217940807343,0.000518643413670361,0.0233758445829153,0,0,0.000855213787872344,0
114273,10,8,0,0,0,2.86601971311029e-05,0.90896064043045,0.0236458200961351,0,0.0391713939607143,0.0233740881085396,0.00481944251805544,0
114181,10,14,0,0,0,0.073202520608902,0.91984236240387,0.000300114043056965,0.00462175626307726,0,0,0.00203322037123144,0
113686,10,1,3.40047408826649e-05,0,0,0.367796868085861,0.381441503763199,0.00875281170010567,0.230175077915192,0.000782108982093632,0.00902498792856932,0.00199267780408263,0
113826,10,1,7.26863509044051e-05,0,0,0.19503678381443,0.680115342140198,0.020282506942749,0.101677633821964,0.000293552089715376,0.000655840383842587,0.00186561641748995,0
113685,10,1,0.000126891623949632,0,0,0.459840834140778,0.505856096744537,0.000676755327731371,0.0328226312994957,0,0,0.000676755327731371,0
114383,10,16,0.0143468547612429,0.00573124783113599,0.000755084271077067,0.297200679779053,0.331589758396149,0.0843021720647812,0.230962246656418,0.000163961143698543,0.0259978007525206,0.00895021297037601,0
113669,10,8,0,0,0,0.0943799167871475,0.905620098114014,0,0,0,0,0,0
113808,10,18,0,0,0,0.305193483829498,0.640492022037506,0.024279560893774,0.0289586391299963,0,0,0.00107630633283406,0
113690,10,16,0.000362469785613939,0,0,0.281105935573578,0.681802749633789,0.0321799553930759,0.00227212137542665,9.06174464034848e-05,0,0.00218614586628973,0
114308,10,16,0,0,0,0.00357260392047465,0.628402769565582,0.00105895334854722,0.337722182273865,0.000618215766735375,0.023591049015522,0.0050342483446002,0
113675,8,1,8.37840634630993e-05,0,0,0.494195848703384,0.401037842035294,0.00833857618272305,0.0855997800827026,0.000111712084617466,0.00635553989559412,0.00427697692066431,0
114141,10,14,0,0,0,0.0916564092040062,0.865782737731934,0.00439073843881488,0,0,0,0.0381701774895191,0
114340,10,1,0.000125843027490191,0.0123579474166036,0,0.0418646745383739,0.605468332767487,0.00054531981004402,0.304661989212036,0.000568478077184409,0.033861231058836,0.000546124065294862,0
114147,10,14,0.00105899036861956,0,0,0.0668567940592766,0.756185054779053,0.000481277937069535,0.145063698291779,0.0026223964523524,0.00754512939602137,0.0201866272836924,0
114435,10,17,0,0,0,0.0437030419707298,0.948209464550018,0.00152814737521112,0.00401260424405336,0,0.00093823904171586,0.00160853844136,0
114420,10,1,2.79442920145812e-05,0,0,0.137271150946617,0.65366005897522,0.00581552134826779,0.185936778783798,0.00962044112384319,0.00615543220192194,0.00151259964331985,0
114216,8,18,0,0,0,0.700218558311462,0.298317939043045,0,0,0.0012021743459627,0,0.000261342240264639,0
114139,10,18,0,0,0,0.0057402802631259,0.989385008811951,0,0,0.00312879029661417,0.00101299060042948,0.000732915359549224,0
114341,10,5,0,0.00136798864696175,0,0.0140415327623487,0.592666566371918,0.00191824848297983,0.35667484998703,0.0042072357609868,0.024433359503746,0.0046902229078114,0
